n,name,shortname,standard,verdict,filters_passed,mean,max,match.var,match,RT.var,RT,count.air,freq.air,count.floral,freq.floral,count.leaf,freq.leaf,count.ambient,freq.ambient,filter_RT,filter_match,filter_freq.floral,filter_contaminant,filter_area,filter_ambient_ratio,ambient_ratio,filter_ambient_ttest,filter_final
14,.beta.-Allyloxypropionic acid,,,,2,486,112520,0.0000,0.72,15.96,7.42,1,0.021,2,0.008,0.000,0.000,1,0.02127659574,OK,Low,Rare,OK,Low,AmRatioFail,1.1,tTestFail,FALSE
15,".beta.-Citronellol, chlorodifluoroacetate",,,,1,2778,666772,0.000000,0.76,0.0000,19.51,1,0.021,1,0.004,0.000,0.000,1,0.02127659574,High,Low,Rare,OK,Low,AmRatioFail,0.2,tTestFail,FALSE
16,".beta.-Citronellol, methyl ether",,,,4,33,7837,NA,0.74,NA,10.61,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
1715,Anisole,anisole,Benzaldehyde,bis14,5,1359,197153,0.0007,0.81,0.00,6.92,0,0.000,3,0.013,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
18,".beta.-D-Mannofuranoside, farnesyl-",,,,4,13056,1338789,0.0001,0.79,0.03,16.04,0,0.000,3,0.013,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
19,".beta.-d-Ribopyranoside, methyl, 3-acetate",,,,4,12665,2907269,0.0015,0.76,18.99,9.69,0,0.000,4,0.017,1.000,0.019,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
20,.beta.-Elemenone,,,,3,1629,224165,0.000200,0.74,0.0000,18.25,0,0.000,2,0.008,0.000,0.000,0,0,High,Low,Rare,OK,Low,OK,Inf,OK,FALSE
5584,Phenylethyl Alcohol,2-phenylethanol,Benzaldehyde,bis14,5,5018,551669,0.0016,0.82,0.00,10.24,0,0.000,3,0.013,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
22,.beta.-Iodoethyl acetate,,,,4,187,44922,NA,0.73,NA,5.08,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
23,.beta.-Longipinene,,,,4,310,74285,NA,0.71,NA,14.88,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
17,.beta.-copaene,b-copaene,Caryophyllene,bis14,5,5223,1053976,0.0004,0.84,0.00,15.61,0,0.000,2,0.008,3.000,0.057,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
1204,"3-Hexen-1-ol, acetate, (Z)-",[(Z)-hex-3-enyl] acetate  ,Hexenol,bis14,4,334,74780,0.0084,0.78,6.29,8.43,0,0.000,2,0.008,4.000,0.075,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
26,.beta.-Panasinsene,,,,5,3178,192162,0.0026,0.83,0.00,14.57,0,0.000,8,0.033,2.000,0.038,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
27,.beta.-Pinene,,,,5,8073,1609219,0.0011,0.81,0.00,8.01,0,0.000,3,0.013,1.000,0.019,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
28,".beta.-Pinene, 3-(acetylmethyl)-",,,,4,226,31270,0.0000,0.75,0.00,10.52,0,0.000,2,0.008,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
29,.beta.-Santalol,,,,3,39408,2285383,0.000030,0.73,0.0000,20.65,0,0.000,5,0.021,0.000,0.000,0,0,High,Low,Rare,OK,Low,OK,Inf,OK,FALSE
30,.beta.-Santanol acetate,,,,3,6666,1599931,0.000000,0.71,0.3916,19.58,0,0.000,1,0.004,1.000,0.019,0,0,High,Low,Rare,OK,Low,OK,Inf,OK,FALSE
31,.delta.-Selinene,,,,5,310,74446,0.0001,0.83,0.00,14.62,0,0.000,1,0.004,1.000,0.019,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
32,".delta.-Terpineol, acetate",,,,4,2241,300536,0.0001,0.78,0.00,9.17,0,0.000,2,0.008,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
33,.gamma.-Chlorobutyrophenone,,,,4,474270,2754775,0.0006,0.88,0.00,9.49,24,0.511,127,0.529,40.000,0.755,24,0.5106382979,OK,OK,OK,OK,Low,AmRatioFail,1.2,tTestFail,FALSE
34,.gamma.-Dodecalactone,,,,2,32482,570720,0.001076,0.77,2.1664,17.85,5,0.106,33,0.138,5.000,0.094,5,0.1063829787,High,Low,OK,OK,Low,AmRatioFail,1.6,tTestFail,FALSE
35,.gamma.-Muurolene,,,,5,11442,2248863,0.0018,0.80,0.33,14.96,0,0.000,3,0.013,1.000,0.019,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
36,.gamma.-Terpinene,g-terpinene,alpha_Pinene,new,4,9286,210778,0.0015,0.82,0.00,9.39,2,0.043,26,0.108,1.000,0.019,2,0.04255319149,OK,OK,OK,OK,Low,AmRatioFail,3.3,tTestFail,FALSE
37,(-)-.beta.-Bourbonene,,,,5,11444,704039,0.0035,0.84,0.00,14.34,0,0.000,5,0.021,3.000,0.057,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
38,(-)-Car-3-en-2-one,,,,4,392,59762,0.0072,0.78,0.51,14.21,0,0.000,2,0.008,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
39,(-)-Globulol,,,,3,16271,2638471,0.002033,0.76,9.6041,19.05,0,0.000,3,0.013,0.000,0.000,0,0,High,Low,Rare,OK,Low,OK,Inf,OK,FALSE
40,"(-)-Isolongifolol, acetate",,,,4,4870,393210,0.0008,0.79,0.81,14.68,0,0.000,5,0.021,2.000,0.038,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
41,"(-)-Isolongifolol, methyl ether",,,,2,11133,1404803,0.000700,0.75,11.1689,20.63,1,0.021,2,0.008,0.000,0.000,1,0.02127659574,High,Low,Rare,OK,Low,OK,22.5,tTestFail,FALSE
42,(-)-Menthoxyacetyl chloride,,,,2,142,34161,0.0000,0.73,0.00,11.23,1,0.021,1,0.004,0.000,0.000,1,0.02127659574,OK,Low,Rare,OK,Low,AmRatioFail,0.3,tTestFail,FALSE
43,(-)-trans-Pinane,,,,4,543,31188,0.0003,0.77,0.53,10.62,0,0.000,7,0.029,1.000,0.019,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
44,"(.+/-.)-Lavandulol, chlorodifluoroacetate",,,,4,876,210341,NA,0.73,NA,8.02,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
45,(+)-3-Carene,,,,5,1866,447812,NA,0.93,NA,8.59,0,0.000,1,0.004,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
46,"(+)-3-Carene, 2-(acetylmethyl)-",,,,2,1225,132462,0.0007,0.75,0.26,9.39,1,0.021,4,0.017,0.000,0.000,1,0.02127659574,OK,Low,Rare,OK,Low,AmRatioFail,1.3,tTestFail,FALSE
47,"(1aR,4S,4aR,7R,7aS,7bS)-1,1,4,7-Tetramethyldecahydro-1H-cyclopropa[e]azulen-4-ol",,,,4,135,32417,NA,0.72,NA,14.71,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
48,"(1E,3E,7E,11E)-4-Isopropyl-1,7,11-trimethylcyclotetradeca-1,3,7,11-tetraene",,,,3,170502,4485133,0.000854,0.73,0.2306,18.29,8,0.170,47,0.196,13.000,0.245,8,0.170212766,High,Low,OK,OK,OK,AmRatioFail,2.4,tTestFail,FALSE
49,"(1R,2R,3R,5S)-(-)-Isopinocampheol",,,,2,11970,291670,0.0011,0.78,6.83,13.98,4,0.085,21,0.088,8.000,0.151,4,0.08510638298,OK,Low,Rare,OK,Low,AmRatioFail,1.5,tTestFail,FALSE
50,"(1R,2R,4S,6S,7S,8S)-8-Isopropyl-1-methyl-3-methylenetricyclo[4.4.0.02,7]decan-4-ol",,,,4,706,169445,0.0018,0.74,0.00,15.28,0,0.000,1,0.004,1.000,0.019,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
51,"(1R,2R,5R,E)-7-Ethylidene-1,2,8,8-tetramethylbicyclo[3.2.1]octane",,,,1,1807,204231,0.000067,0.72,0.0335,18.25,1,0.021,3,0.013,0.000,0.000,1,0.02127659574,High,Low,Rare,OK,Low,AmRatioFail,0.3,tTestFail,FALSE
52,"(1R,2R,5R)-5-Methyl-2-(prop-1-en-2-yl)cyclohexanol",,,,4,402,96421,NA,0.75,NA,11.78,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
53,"(1R,2S,6S,7S,8S)-8-Isopropyl-1-methyl-3-methylenetricyclo[4.4.0.02,7]decane-rel-",,,,5,4437,604730,0.0044,0.86,2.36,15.47,0,0.000,3,0.013,1.000,0.019,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
54,"(1R,3aR,4aR,8aR)-1,4,4,6-Tetramethyl-1,2,3,3a,4,4a,7,8-octahydrocyclopenta[1,4]cyclobuta[1,2]benzene",,,,3,38708,2632346,0.000300,0.73,0.0187,20.05,0,0.000,7,0.029,2.000,0.038,0,0,High,Low,Rare,OK,Low,OK,Inf,OK,FALSE
55,"(1R,3aS,4aS,8aS)-1,4,4,6-Tetramethyl-1,2,3,3a,4,4a,7,8-octahydrocyclopenta[1,4]cyclobuta[1,2]benzene",,,,2,112608,6824849,0.000189,0.75,0.0162,20.04,1,0.021,15,0.063,2.000,0.038,1,0.02127659574,High,Low,Rare,OK,OK,AmRatioFail,1.2,tTestFail,FALSE
56,"(1R,3aS,5aS,8aR)-1,3a,5a-Trimethyl-4-methylenedecahydrocyclopenta[c]pentalene",,,,5,207,49750,NA,0.81,NA,14.71,0,0.000,1,0.004,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
57,"(1R,3R,4R,5S)-1-Isopropyl-4-methylbicyclo[3.1.0]hexan-3-yl acetate-rel-",,,,4,509,122173,NA,0.71,NA,7.13,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
58,"(1R,3R,4S,5S)-1-Isopropyl-4-methylbicyclo[3.1.0]hexan-3-yl acetate-rel",,,,3,22303,296498,0.0007,0.75,0.76,9.39,10,0.213,33,0.138,2.000,0.038,10,0.2127659574,OK,Low,OK,OK,Low,AmRatioFail,0.7,tTestFail,FALSE
59,"(1R,7S,E)-7-Isopropyl-4,10-dimethylenecyclodec-5-enol",,,,4,12363,1514233,0.003773,0.845,0.0054,18.07,0,0.000,7,0.029,3.000,0.057,0,0,High,OK,Rare,OK,Low,OK,Inf,OK,FALSE
2058,cis-.beta.-Farnesene,b-farnesene,Caryophyllene,bis14,5,250,59931,NA,0.80,NA,15.14,0,0.000,1,0.004,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
61,"(1S,3S,4S,5R)-1-Isopropyl-4-methylbicyclo[3.1.0]hexan-3-ol",,,,4,889,126306,0.0001,0.76,4.01,10.11,0,0.000,2,0.008,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
3603,trans-Farnesol,farnesol,Caryophyllene,bis14,5,799,191786,NA,0.81,NA,16.05,0,0.000,1,0.004,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
63,"(1S,5S)-4-Methylene-1-((R)-6-methylhept-5-en-2-yl)bicyclo[3.1.0]hexane",,,,5,3883,745899,0.0008,0.80,0.01,15.07,0,0.000,2,0.008,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
64,"(2,2-Dimethylcyclobutyl)methylamine",,,,2,0,0,NA,0.75,NA,6.33,1,0.021,0,0.000,0.000,0.000,1,0.02127659574,OK,Low,Rare,OK,Low,AmRatioFail,0.0,tTestFail,FALSE
65,"(2E,4E)-3,7-Dimethyl-2,4-octadiene",,,,4,106,25379,NA,0.75,NA,8.81,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
66,"(2E,6E,10E)-3,7,11,15-Tetramethylhexadeca-2,6,10,14-tetraen-1-yl formate",,,,4,1471,353064,NA,0.72,NA,16.12,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
67,"(2E,6E)-3,7,11-Trimethyldodeca-2,6,10-trienyl propionate",,,,4,1722,413227,NA,0.70,NA,16.46,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
68,(2E)-Dodec-2-en-1-yl methyl ether,,,,4,121,29104,NA,0.71,NA,13.60,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
69,"(2R,3R,4aR,5S,8aS)-2-Hydroxy-4a,5-dimethyl-3-(prop-1-en-2-yl)octahydronaphthalen-1(2H)-one",,,,3,4786,701934,0.000200,0.74,0.0000,18.38,0,0.000,2,0.008,0.000,0.000,0,0,High,Low,Rare,OK,Low,OK,Inf,OK,FALSE
70,"(2R,5R)-2-Methyl-5-(prop-1-en-2-yl)-2-vinyltetrahydrofuran",,,,3,0,0,NA,0.89,NA,8.25,1,0.021,0,0.000,0.000,0.000,1,0.02127659574,OK,OK,Rare,OK,Low,AmRatioFail,0.0,tTestFail,FALSE
71,"(2R,5S)-2-Methyl-5-(prop-1-en-2-yl)-2-vinyltetrahydrofuran",,,,3,602,49802,0.0017,0.83,0.00,8.52,2,0.043,4,0.017,0.000,0.000,2,0.04255319149,OK,OK,Rare,OK,Low,AmRatioFail,0.3,tTestFail,FALSE
72,"(2S,3S)-(-)-3-Propyloxiranemethanol",,,,4,466,111720,NA,0.76,NA,3.56,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
73,(3-Phenyloxiran-2-yl)methyl benzoate,,,,1,3193,328021,0.000630,0.75,0.0002,18.55,1,0.021,4,0.017,0.000,0.000,1,0.02127659574,High,Low,Rare,OK,Low,AmRatioFail,0.8,tTestFail,FALSE
74,"(3E,5E)-2,6-Dimethylocta-3,5,7-trien-2-ol","(3E,5E)-2,6-dimethylocta-3,5,7-trien-2-ol",Linalool,NEXP2,3,6913,711846,0.0017,0.82,0.16,11.70,2,0.043,11,0.046,0.000,0.000,2,0.04255319149,OK,OK,Rare,OK,Low,AmRatioFail,2.2,tTestFail,FALSE
75,"(3E,7E)-4,8,12-Trimethyltrideca-1,3,7,11-tetraene",,,,3,1280,307180,0.0010,0.83,0.01,16.63,1,0.021,1,0.004,1.000,0.019,1,0.02127659574,OK,OK,Rare,OK,Low,AmRatioFail,0.2,tTestFail,FALSE
76,"(3R,3aR,7R,8aS)-3,8,8-Trimethyl-6-methyleneoctahydro-1H-3a,7-methanoazulene",,,,4,9454,1483412,0.0002,0.74,0.01,14.83,0,0.000,4,0.017,1.000,0.019,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
77,"(3S,3aS,6R,8aS)-3,8,8-Trimethyl-7-methyleneoctahydro-1H-3a,6-methanoazulene",,,,4,297,71179,NA,0.75,NA,14.71,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
78,"(4aR,4bR,10aR)-7-Isopropyl-1,1,4a-trimethyl-3,4,4a,4b,5,6,10,10a-octahydrophenanthren-2(1H)-one",,,,1,13705,2730078,0.000233,0.72,0.0000,19.68,1,0.021,2,0.008,0.000,0.000,1,0.02127659574,High,Low,Rare,OK,Low,AmRatioFail,1.0,tTestFail,FALSE
4019,"1,3,6,10-Dodecatetraene, 3,7,11-trimethyl-, (Z,E)-","(Z,E)-a-farnesene",Caryophyllene,bis14,6,31340,7521707,NA,0.82,NA,15.93,0,0.000,1,0.004,0.000,0.000,0,0,OK,OK,Rare,OK,OK,OK,Inf,OK,TRUE
80,"(6-Isopropyl-3,4-bis(methylamino)-2,4,6-cycloheptatrienylidene)malononitrile",,,,1,21435,2319050,0.000100,0.71,0.0000,21.89,1,0.021,3,0.013,0.000,0.000,1,0.02127659574,High,Low,Rare,OK,Low,AmRatioFail,0.5,tTestFail,FALSE
81,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",,,,4,891,213738,NA,0.78,NA,15.79,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
82,"(9Z,12Z,15Z)-3,7-Dimethyloct-6-en-1-yl octadeca-9,12,15-trienoate",,,,3,2659,638114,NA,0.78,NA,19.51,0,0.000,1,0.004,0.000,0.000,0,0,High,Low,Rare,OK,Low,OK,Inf,OK,FALSE
83,"(9Z,12Z)-Phenethyl octadeca-9,12-dienoate",,,,2,1807,296115,0.0002,0.72,0.00,9.27,2,0.043,3,0.013,0.000,0.000,2,0.04255319149,OK,Low,Rare,OK,Low,AmRatioFail,0.7,tTestFail,FALSE
84,"(E,E,E)-3,7,11,15-Tetramethylhexadeca-1,3,6,10,14-pentaene",,,,3,19992,2153119,0.001150,0.72,3.3814,19.14,0,0.000,4,0.017,1.000,0.019,0,0,High,Low,Rare,OK,Low,OK,Inf,OK,FALSE
85,"(E)-1-(6,10-Dimethylundec-5-en-2-yl)-4-methylbenzene",,,,3,623688,15798865,0.000218,0.76,0.0052,20.29,11,0.234,46,0.192,6.000,0.113,11,0.2340425532,High,Low,OK,OK,OK,AmRatioFail,0.9,tTestFail,FALSE
86,"(E)-1,3-Butadien-1-ol",,,,3,3494,226704,0.0009,0.81,0.00,2.64,3,0.064,9,0.038,2.000,0.038,3,0.06382978723,OK,OK,Rare,OK,Low,AmRatioFail,0.7,tTestFail,FALSE
5338,Indole,indole,Indole,bis14,5,1530,367097,NA,0.93,NA,12.99,0,0.000,1,0.004,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
88,"(E)-4,8-Dimethylnona-1,3,7-triene","(3E)-4,8-dimethylnona-1,3,7-triene",Linalool,new,4,31528,2306492,0.0020,0.84,0.04,10.28,2,0.043,26,0.108,6.000,0.113,2,0.04255319149,OK,OK,OK,OK,Low,AmRatioFail,1.5,tTestFail,FALSE
89,(E)-9-Octadecenoic acid ethyl ester,,,,3,1664,399316,NA,0.7,NA,19.01,0,0.000,1,0.004,0.000,0.000,0,0,High,Low,Rare,OK,Low,OK,Inf,OK,FALSE
90,"(E)-all-trans-3,7,11-Trimethyl-2,6,10-dodecatriene-1-aldoxime",,,,2,0,0,NA,0.73,NA,16.66,1,0.021,0,0.000,0.000,0.000,1,0.02127659574,OK,Low,Rare,OK,Low,AmRatioFail,0.0,tTestFail,FALSE
91,(E)-Hexadec-2-enal,,,,4,73716,2646835,0.0032,0.82,2.68,15.23,7,0.149,65,0.271,18.000,0.340,7,0.1489361702,OK,OK,OK,OK,Low,AmRatioFail,3.0,tTestFail,FALSE
92,(E)-Tetradec-2-enal,,,,5,227757,8594465,0.0026,0.85,2.25,15.23,18,0.383,64,0.267,26.000,0.491,18,0.3829787234,OK,OK,OK,OK,OK,AmRatioFail,1.1,tTestFail,FALSE
93,"(R,S)-2-Propyl-5-oxohexanal",,,,5,11864,701697,0.0004,0.86,0.00,6.43,0,0.000,7,0.029,0.000,0.000,0,0,OK,OK,Rare,OK,Low,OK,Inf,OK,FALSE
94,"(R,Z)-2-Methyl-6-(4-methylcyclohexa-1,4-dien-1-yl)hept-2-en-1-ol",,,,1,14292,883808,0.000097,0.715,0.0174,20.16,1,0.021,5,0.021,0.000,0.000,1,0.02127659574,High,Low,Rare,OK,Low,AmRatioFail,0.7,tTestFail,FALSE
95,(R)-(-)-(Z)-14-Methyl-8-hexadecen-1-ol,,,,3,18792,657624,0.0021,0.82,3.07,12.71,2,0.043,20,0.083,3.000,0.057,2,0.04255319149,OK,OK,Rare,OK,Low,AmRatioFail,1.9,tTestFail,FALSE
96,(R)-(-)-2-Amino-1-propanol,,,,4,331,79532,NA,0.88,NA,1.59,0,0.000,1,0.004,0.000,0.000,0,0,Low,OK,Rare,OK,Low,OK,Inf,OK,FALSE
97,"(R)-(-)-2-Methyl-2,4-pentanediol",,,,5,363024,4469429,0.0015,0.92,0.00,6.99,36,0.766,166,0.692,31.000,0.585,36,0.7659574468,OK,OK,OK,OK,OK,AmRatioFail,0.4,tTestFail,FALSE
98,(R)-(-)-N-Ethyl-alpha-methylphenethylamine,,,,3,372,89175,NA,0.71,NA,1.96,0,0.000,1,0.004,0.000,0.000,0,0,Low,Low,Rare,OK,Low,OK,Inf,OK,FALSE
99,(R)-(+)-3-Methylcyclopentanone,,,,4,409,85518,0.0050,0.79,0.00,4.97,0,0.000,2,0.008,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
100,(R)-3-Pyrrolidinol,,,,4,827,198370,NA,0.78,NA,5.03,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
101,"(S,E)-2,5-Dimethyl-4-vinylhexa-2,5-dien-1-yl acetate",,,,4,4649,303025,0.0010,0.78,16.47,10.10,0,0.000,6,0.025,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
102,"(S,E)-8,12,15,15-Tetramethyl-4-methylenebicyclo[9.3.1]pentadeca-7,11-diene",,,,3,562167,11351177,0.000279,0.74,0.1474,20.09,7,0.149,36,0.150,3.000,0.057,7,0.1489361702,High,Low,OK,OK,OK,AmRatioFail,1.6,tTestFail,FALSE
103,"(S)-(-)-Citronellic acid, methyl ester",,,,4,759,182085,NA,0.77,NA,12.44,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
104,(S)-(+)-1-Cyclohexylethylamine,,,,3,211,50529,0.0013,0.76,0.90,0.75,0,0.000,1,0.004,1.000,0.019,0,0,Low,Low,Rare,OK,Low,OK,Inf,OK,FALSE
105,"(S)-(+)-1,2-Propanediol",,,,3,56209,2012316,0.0010,0.92,0.00,3.77,5,0.106,13,0.054,1.000,0.019,5,0.1063829787,OK,OK,Rare,OK,Low,AmRatioFail,0.8,tTestFail,FALSE
106,(S)-(+)-3-Bromo-2-methyl-1-propanol,,,,4,294,54910,0.0000,0.72,0.00,8.66,0,0.000,2,0.008,1.000,0.019,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
107,(S)-(+)-3-Methyl-1-pentanol,,,,4,93,22332,NA,0.78,NA,10.58,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
108,(S)-(+)-5-Methyl-1-heptanol,,,,4,14521,199819,0.0018,0.81,1.01,9.08,11,0.234,47,0.196,9.000,0.170,11,0.2340425532,OK,OK,OK,OK,Low,AmRatioFail,0.9,tTestFail,FALSE
109,(S)-(+)-6-Methyl-1-octanol,,,,4,4123,480183,0.0012,0.71,1.21,10.68,0,0.000,4,0.017,2.000,0.038,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
110,(S)-(+)-Isoleucinol,,,,4,1660,398391,NA,0.79,NA,4.60,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
111,(S)-5-Hydroxymethyl-2[5H]-furanone,,,,4,11835,211652,0.0030,0.82,0.01,3.91,8,0.170,52,0.217,31.000,0.585,8,0.170212766,OK,OK,OK,OK,Low,AmRatioFail,1.7,tTestFail,FALSE
112,(S)(+)-Z-13-Methyl-11-pentadecen-1-ol acetate,,,,4,1069,136034,0.0008,0.76,6.43,9.67,0,0.000,3,0.013,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
113,"(SS)- or (RR)-4-methyl-2,3-pentanediol",,,,4,206,49462,NA,0.73,NA,7.30,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
114,(Z)-(E)-2-Methylbut-2-en-1-yl 2-methylbut-2-enoate,,,,4,49,11676,NA,0.76,NA,10.62,0,0.000,1,0.004,0.000,0.000,0,0,OK,Low,Rare,OK,Low,OK,Inf,OK,FALSE
